iter	Passed	Remaining
792	10683	22998
793	10698	22986
794	10705	22959
795	10728	22967
796	10738	22945
797	10750	22928
798	10762	22912
799	10770	22887
800	10797	22902
801	10810	22887
802	10816	22858
803	10825	22836
804	10841	22828
805	10862	22829
806	10871	22806
807	10884	22792
808	10894	22772
809	10905	22752
810	10929	22761
811	10937	22737
812	10949	22719
813	10958	22697
814	10968	22677
815	10991	22682
816	11001	22662
817	11015	22649
818	11026	22632
819	11032	22603
820	11054	22606
821	11062	22583
822	11071	22560
823	11080	22537
824	11095	22527
825	11124	22545
826	11131	22518
827	11142	22499
828	11151	22478
829	11161	22457
830	11188	22471
831	11201	22457
832	11208	22429
833	11218	22411
834	11231	22394
835	11251	22396
836	11262	22377
837	11272	22356
838	11283	22338
839	11292	22315
840	11317	22326
841	11325	22302
842	11335	22281
843	11348	22267
844	11358	22247
845	11380	22249
846	11390	22229
847	11399	22206
848	11410	22188
849	11419	22167
850	11443	22174
851	11451	22150
852	11462	22131
853	11472	22111
854	11481	22090
855	11506	22099
856	11515	22077
857	11528	22062
858	11537	22040
859	11547	22020
860	11569	22023
861	11582	22010
862	11593	21991
863	11605	21975
864	11619	21962
865	11642	21966
866	11650	21944
867	11660	21924
868	11670	21903
869	11681	21886
870	11703	21889
871	11712	21867
872	11722	21846
873	11735	21832
874	11744	21810
875	11766	21812
876	11773	21788
877	11785	21772
878	11797	21755
879	11807	21735
880	11828	21736
881	11837	21715
882	11848	21697
883	11858	21677
884	11871	21663
885	11894	21668
886	11901	21641
887	11914	21629
888	11921	21604
889	11930	21582
890	11953	21585
891	11961	21563
892	11974	21548
893	11984	21529
894	11996	21513
895	12021	21520
896	12028	21496
897	12038	21475
898	12048	21455
899	12058	21436
900	12078	21436
901	12088	21416
902	12097	21395
903	12110	21380
904	12120	21361
905	12142	21363
906	12151	21342
907	12162	21324
908	12172	21305
909	12180	21283
910	12207	21292
911	12214	21269
912	12226	21252
913	12235	21232
914	12243	21209
915	12268	21214
916	12278	21195
917	12287	21175
918	12296	21154
919	12306	21134
920	12327	21134
921	12335	21112
922	12344	21091
923	12354	21072
924	12363	21051
925	12389	21060
926	12398	21038
927	12408	21020
928	12418	21000
929	12428	20982
930	12451	20985
931	12462	20966
932	12470	20943
933	12480	20925
934	12495	20915
935	12515	20912
936	12527	20896
937	12537	20878
938	12547	20859
939	12557	20840
940	12581	20844
941	12589	20822
942	12599	20803
943	12609	20784
